game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9,odds_api_id
185647,2026-09-09,2026-09-09 13:10:00,Detroit Tigers,Minnesota Twins,1.79,2.15,8.5,1.91,1.96,7,2,Finished,Detroit Tigers,Over,2,0,0,0,3,0,0,2,0,0,0,0,1,0,1,0,,0,185647
185648,2026-09-09,2026-09-09 15:05:00,Athletics,Toronto Blue Jays,2.5,1.53,9.0,1.84,1.92,2,0,Finished,Athletics,Under,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,185648
185649,2026-09-09,2026-09-09 15:45:00,San Francisco Giants,St. Louis Cardinals,2.11,1.82,8.0,1.86,2.01,7,6,Finished,San Francisco Giants,Over,1,0,0,1,0,3,0,0,0,1,0,1,0,0,6,0,,0,185649
185650,2026-09-09,2026-09-09 16:10:00,San Diego Padres,Washington Nationals,1.55,2.62,8.0,1.86,2.01,9,2,Finished,San Diego Padres,Over,0,0,0,0,3,2,2,0,2,0,0,0,1,0,1,0,,0,185650
185651,2026-09-09,2026-09-09 16:10:00,Seattle Mariners,Texas Rangers,1.66,2.36,8.0,1.97,1.89,3,2,Finished,Seattle Mariners,Under,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,,0,185651
185652,2026-09-09,2026-09-09 18:35:00,Baltimore Orioles,Cleveland Guardians,1.97,1.93,8.5,1.87,2.01,9,5,Finished,Baltimore Orioles,Over,0,2,0,0,8,0,0,0,0,0,1,3,0,0,0,0,,0,185652
185653,2026-09-09,2026-09-09 18:40:00,Miami Marlins,New York Mets,1.83,2.1,8.5,1.86,2.01,14,15,Finished,New York Mets,Over,0,0,0,6,0,2,3,0,0,0,5,0,1,6,2,1,3.0,0,185653
185654,2026-09-09,2026-09-09 18:40:00,Philadelphia Phillies,Houston Astros,1.62,2.45,8.0,1.86,2.01,11,7,Finished,Philadelphia Phillies,Over,0,0,0,0,4,4,0,2,1,0,6,0,0,1,0,0,,0,185654
185655,2026-09-09,2026-09-09 18:45:00,Boston Red Sox,Los Angeles Angels,1.48,2.85,9.5,2.03,1.85,4,6,Finished,Los Angeles Angels,Over,0,0,0,0,0,5,0,1,2,0,1,0,0,0,0,0,1.0,0,185655
185656,2026-09-09,2026-09-09 19:05:00,New York Yankees,Colorado Rockies,1.42,3.08,9.0,1.93,1.93,6,1,Finished,New York Yankees,Under,0,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,,0,185656
185657,2026-09-09,2026-09-09 19:15:00,Atlanta Braves,Tampa Bay Rays,1.81,2.0,8.5,1.94,1.84,2,7,Finished,Tampa Bay Rays,Over,0,0,0,3,0,0,1,3,0,0,1,0,0,1,0,0,0.0,0,185657
185658,2026-09-09,2026-09-09 19:40:00,Chicago White Sox,Pittsburgh Pirates,1.66,2.22,8.0,1.81,1.95,2,4,Finished,Pittsburgh Pirates,Under,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0.0,0,185658
185659,2026-09-09,2026-09-09 19:40:00,Kansas City Royals,Arizona Diamondbacks,1.93,1.87,8.5,1.82,1.97,5,2,Finished,Kansas City Royals,Under,0,0,1,0,1,0,0,1,3,1,0,0,0,0,0,0,,0,185659
185660,2026-09-09,2026-09-09 19:40:00,Milwaukee Brewers,Chicago Cubs,1.78,2.17,7.5,1.95,1.92,8,6,Finished,Milwaukee Brewers,Over,3,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,,5,185660
185710,2026-09-09,2026-09-09 22:10:00,Los Angeles Dodgers,Cincinnati Reds,1.37,3.36,8.5,1.88,1.99,14,1,Finished,Los Angeles Dodgers,Over,0,0,1,0,2,0,6,1,0,0,2,0,2,0,1,0,,0,185710
