game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9,odds_api_id
178782,2026-09-22,2026-09-22 13:05:00,New York Yankees,Tampa Bay Rays,1.81,2.12,7.0,1.92,1.95,,,,,,,,,,,,,,,,,,,,,,,,178782
187487,2026-09-22,2026-09-22 18:35:00,Baltimore Orioles,Toronto Blue Jays,1.86,2.05,7.5,1.88,1.99,,,,,,,,,,,,,,,,,,,,,,,,187487
187488,2026-09-22,2026-09-22 18:40:00,Pittsburgh Pirates,St. Louis Cardinals,1.68,2.32,7.0,1.84,2.04,,,,,,,,,,,,,,,,,,,,,,,,187488
187489,2026-09-22,2026-09-22 18:40:00,Philadelphia Phillies,Milwaukee Brewers,1.76,2.19,7.0,1.83,2.05,,,,,,,,,,,,,,,,,,,,,,,,187489
187490,2026-09-22,2026-09-22 18:40:00,Detroit Tigers,Washington Nationals,1.68,2.32,8.0,1.86,2.01,,,,,,,,,,,,,,,,,,,,,,,,187490
187491,2026-09-22,2026-09-22 18:45:00,Boston Red Sox,Cleveland Guardians,1.79,2.14,7.0,2.05,1.83,,,,,,,,,,,,,,,,,,,,,,,,187491
187492,2026-09-22,2026-09-22 19:05:00,New York Yankees,Tampa Bay Rays,1.72,2.12,6.5,1.81,1.98,,,,,,,,,,,,,,,,,,,,,,,,187492
187493,2026-09-22,2026-09-22 19:15:00,Atlanta Braves,Cincinnati Reds,1.54,2.66,9.0,1.83,2.04,,,,,,,,,,,,,,,,,,,,,,,,187493
187494,2026-09-22,2026-09-22 19:40:00,Chicago Cubs,Miami Marlins,1.47,2.88,6.5,1.85,2.03,,,,,,,,,,,,,,,,,,,,,,,,187494
187495,2026-09-22,2026-09-22 19:40:00,Kansas City Royals,Chicago White Sox,2.03,1.88,8.0,1.87,2.0,,,,,,,,,,,,,,,,,,,,,,,,187495
187496,2026-09-22,2026-09-22 20:05:00,Texas Rangers,New York Mets,1.72,2.26,8.0,2.0,1.88,,,,,,,,,,,,,,,,,,,,,,,,187496
187497,2026-09-22,2026-09-22 20:40:00,Colorado Rockies,Arizona Diamondbacks,2.65,1.54,11.0,1.98,1.88,,,,,,,,,,,,,,,,,,,,,,,,187497
187498,2026-09-22,2026-09-22 21:40:00,Athletics,Los Angeles Angels,1.94,1.96,9.5,2.02,1.85,,,,,,,,,,,,,,,,,,,,,,,,187498
187499,2026-09-22,2026-09-22 21:40:00,Seattle Mariners,Houston Astros,1.68,2.32,7.5,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,187499
187500,2026-09-22,2026-09-22 21:45:00,San Francisco Giants,Minnesota Twins,2.16,1.78,7.5,1.92,1.95,,,,,,,,,,,,,,,,,,,,,,,,187500
187501,2026-09-22,2026-09-22 22:10:00,Los Angeles Dodgers,San Diego Padres,1.81,2.00,8.0,1.81,1.95,,,,,,,,,,,,,,,,,,,,,,,,187501
