game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
179192,2026-06-23,2026-06-23 16:07:00,Toronto Blue Jays,Houston Astros,1.72,2.12,8.5,1.83,1.95,,,,,,,,,,,,,,,,,,,,,,,
179190,2026-06-23,2026-06-23 18:40:00,Pittsburgh Pirates,Seattle Mariners,2.09,1.83,8.5,2.01,1.87,,,,,,,,,,,,,,,,,,,,,,,
179193,2026-06-23,2026-06-23 18:40:00,Tampa Bay Rays,Kansas City Royals,1.55,2.62,8.0,1.95,1.92,,,,,,,,,,,,,,,,,,,,,,,
179199,2026-06-23,2026-06-23 18:40:00,Miami Marlins,Texas Rangers,1.67,2.21,8.5,1.92,1.86,,,,,,,,,,,,,,,,,,,,,,,
179201,2026-06-23,2026-06-23 18:40:00,Detroit Tigers,New York Yankees,2.05,1.86,7.5,1.93,1.93,,,,,,,,,,,,,,,,,,,,,,,
179191,2026-06-23,2026-06-23 18:45:00,Washington Nationals,Philadelphia Phillies,2.38,1.65,8.5,1.88,1.99,,,,,,,,,,,,,,,,,,,,,,,
179197,2026-06-23,2026-06-23 19:10:00,Cincinnati Reds,Milwaukee Brewers,2.09,1.83,9.5,1.88,1.99,,,,,,,,,,,,,,,,,,,,,,,
179198,2026-06-23,2026-06-23 19:10:00,New York Mets,Chicago Cubs,1.82,1.99,8.0,1.82,1.94,,,,,,,,,,,,,,,,,,,,,,,
179203,2026-06-23,2026-06-23 19:40:00,Chicago White Sox,Cleveland Guardians,2.00,1.91,7.0,1.86,2.01,,,,,,,,,,,,,,,,,,,,,,,
179204,2026-06-23,2026-06-23 19:40:00,Minnesota Twins,Los Angeles Dodgers,2.51,1.60,9.0,2.05,1.83,,,,,,,,,,,,,,,,,,,,,,,
179194,2026-06-23,2026-06-23 19:45:00,St. Louis Cardinals,Arizona Diamondbacks,1.91,2.00,8.0,1.86,2.01,,,,,,,,,,,,,,,,,,,,,,,
179202,2026-06-23,2026-06-23 20:40:00,Colorado Rockies,Boston Red Sox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179200,2026-06-23,2026-06-23 21:38:00,Los Angeles Angels,Baltimore Orioles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179196,2026-06-23,2026-06-23 21:40:00,San Diego Padres,Atlanta Braves,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179195,2026-06-23,2026-06-23 21:45:00,San Francisco Giants,Athletics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
