game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result
164220,2025-06-06,2025-06-06 13:10:00,Tampa Bay Rays,Miami Marlins,1.59,2.50,9.5,2.00,1.80,,,,,
164221,2025-06-06,2025-06-06 18:40:00,Pittsburgh Pirates,Philadelphia Phillies,2.20,1.71,9.0,2.00,1.80,,,,,
164219,2025-06-06,2025-06-06 18:45:00,Washington Nationals,Texas Rangers,2.05,1.80,9.5,1.91,1.91,,,,,
164228,2025-06-06,2025-06-06 19:05:00,New York Yankees,Boston Red Sox,1.57,2.55,9.0,1.80,2.00,,,,,
164224,2025-06-06,2025-06-06 19:10:00,Detroit Tigers,Chicago Cubs,1.54,2.65,7.0,1.91,1.91,,,,,
164225,2025-06-06,2025-06-06 19:10:00,Cincinnati Reds,Arizona Diamondbacks,1.95,1.87,9.0,1.80,2.00,,,,,
164227,2025-06-06,2025-06-06 19:10:00,Cleveland Guardians,Houston Astros,1.91,1.91,8.5,1.91,1.91,,,,,
164226,2025-06-06,2025-06-06 19:40:00,Chicago White Sox,Kansas City Royals,2.50,1.59,8.0,1.91,1.91,,,,,
164229,2025-06-06,2025-06-06 20:10:00,Milwaukee Brewers,San Diego Padres,1.69,2.25,8.5,1.80,2.00,,,,,
164230,2025-06-06,2025-06-06 20:10:00,Minnesota Twins,Toronto Blue Jays,,,,,,,,,,
164231,2025-06-06,2025-06-06 20:15:00,St. Louis Cardinals,Los Angeles Dodgers,1.91,1.91,8.5,1.91,1.91,,,,,
164223,2025-06-06,2025-06-06 20:40:00,Colorado Rockies,New York Mets,3.55,1.32,10.0,1.80,2.00,,,,,
164232,2025-06-06,2025-06-06 21:38:00,Los Angeles Angels,Seattle Mariners,2.25,1.69,9.0,1.80,2.00,,,,,
164222,2025-06-06,2025-06-06 22:05:00,Athletics,Baltimore Orioles,,,,,,,,,,
164233,2025-06-06,2025-06-06 22:15:00,San Francisco Giants,Atlanta Braves,2.15,1.74,7.5,1.91,1.91,,,,,
