game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
178280,2026-04-15,2026-04-15 12:35:00,Baltimore Orioles,Arizona Diamondbacks,1.67,2.35,9.0,2.02,1.85,,,,,,,,,,,,,,,,,,,,,,,
178269,2026-04-15,2026-04-15 13:15:00,St. Louis Cardinals,Cleveland Guardians,1.9,2.01,8.5,1.97,1.89,,,,,,,,,,,,,,,,,,,,,,,
178275,2026-04-15,2026-04-15 13:40:00,Minnesota Twins,Boston Red Sox,2.19,1.76,8.0,1.89,1.98,,,,,,,,,,,,,,,,,,,,,,,
178271,2026-04-15,2026-04-15 18:40:00,Pittsburgh Pirates,Washington Nationals,1.56,2.43,9.0,1.91,1.85,,,,,,,,,,,,,,,,,,,,,,,
178272,2026-04-15,2026-04-15 18:40:00,Philadelphia Phillies,Chicago Cubs,1.75,2.21,8.5,1.85,2.02,,,,,,,,,,,,,,,,,,,,,,,
178276,2026-04-15,2026-04-15 18:40:00,Detroit Tigers,Kansas City Royals,1.78,2.16,8.0,1.87,2.0,,,,,,,,,,,,,,,,,,,,,,,
178278,2026-04-15,2026-04-15 18:40:00,Cincinnati Reds,San Francisco Giants,2.02,1.89,9.0,1.94,1.93,,,,,,,,,,,,,,,,,,,,,,,
178273,2026-04-15,2026-04-15 19:05:00,New York Yankees,Los Angeles Angels,1.51,2.56,10.0,1.93,1.83,,,,,,,,,,,,,,,,,,,,,,,
178281,2026-04-15,2026-04-15 19:15:00,Atlanta Braves,Miami Marlins,1.58,2.54,9.0,2.02,1.85,,,,,,,,,,,,,,,,,,,,,,,
178274,2026-04-15,2026-04-15 19:40:00,Milwaukee Brewers,Toronto Blue Jays,1.98,1.83,7.5,1.91,1.87,,,,,,,,,,,,,,,,,,,,,,,
178279,2026-04-15,2026-04-15 19:40:00,Chicago White Sox,Tampa Bay Rays,2.1,1.83,8.0,2.01,1.86,,,,,,,,,,,,,,,,,,,,,,,
178283,2026-04-15,2026-04-15 20:10:00,Houston Astros,Colorado Rockies,1.55,2.65,8.5,1.86,2.03,,,,,,,,,,,,,,,,,,,,,,,
178270,2026-04-15,2026-04-15 21:40:00,San Diego Padres,Seattle Mariners,1.98,1.93,8.0,1.87,2.0,,,,,,,,,,,,,,,,,,,,,,,
178282,2026-04-15,2026-04-15 21:40:00,Athletics,Texas Rangers,1.88,2.02,9.5,1.87,2.0,,,,,,,,,,,,,,,,,,,,,,,
178277,2026-04-15,2026-04-15 22:10:00,Los Angeles Dodgers,New York Mets,1.49,2.81,8.0,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,
