game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
179724,2026-08-05,2026-08-05 14:10:00,Houston Astros,Toronto Blue Jays,1.56,2.61,8.0,1.92,1.95,,,,,,,,,,,,,,,,,,,,,,,
179734,2026-08-05,2026-08-05 14:20:00,Chicago Cubs,Los Angeles Dodgers,1.85,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,
179725,2026-08-05,2026-08-05 14:35:00,Texas Rangers,San Francisco Giants,1.55,2.45,8.0,1.83,1.93,,,,,,,,,,,,,,,,,,,,,,,
179731,2026-08-05,2026-08-05 15:10:00,Colorado Rockies,Tampa Bay Rays,2.42,1.63,11.5,1.9,1.97,,,,,,,,,,,,,,,,,,,,,,,
179737,2026-08-05,2026-08-05 18:35:00,Baltimore Orioles,Los Angeles Angels,1.78,2.16,8.0,1.92,1.95,,,,,,,,,,,,,,,,,,,,,,,
179730,2026-08-05,2026-08-05 18:40:00,Philadelphia Phillies,Washington Nationals,1.58,2.53,9.5,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,
179732,2026-08-05,2026-08-05 18:40:00,Cleveland Guardians,New York Mets,1.95,1.95,8.5,1.98,1.88,,,,,,,,,,,,,,,,,,,,,,,
179733,2026-08-05,2026-08-05 18:40:00,Cincinnati Reds,Athletics,1.75,2.2,9.5,1.88,1.99,,,,,,,,,,,,,,,,,,,,,,,
179727,2026-08-05,2026-08-05 19:05:00,New York Yankees,St. Louis Cardinals,1.68,2.32,8.5,1.85,2.03,,,,,,,,,,,,,,,,,,,,,,,
179735,2026-08-05,2026-08-05 19:10:00,Boston Red Sox,Chicago White Sox,1.82,2.1,8.0,1.88,1.99,,,,,,,,,,,,,,,,,,,,,,,
179738,2026-08-05,2026-08-05 19:15:00,Atlanta Braves,Miami Marlins,1.78,2.15,8.5,1.84,2.03,,,,,,,,,,,,,,,,,,,,,,,
179728,2026-08-05,2026-08-05 19:40:00,Milwaukee Brewers,Pittsburgh Pirates,1.78,2.16,7.5,2.02,1.85,,,,,,,,,,,,,,,,,,,,,,,
179729,2026-08-05,2026-08-05 19:40:00,Kansas City Royals,Minnesota Twins,1.83,2.09,9.0,1.91,1.96,,,,,,,,,,,,,,,,,,,,,,,
179726,2026-08-05,2026-08-05 21:40:00,Seattle Mariners,Detroit Tigers,1.68,2.32,8.0,1.95,1.92,,,,,,,,,,,,,,,,,,,,,,,
179736,2026-08-05,2026-08-05 21:40:00,Arizona Diamondbacks,San Diego Padres,2.07,1.84,9.0,1.85,2.03,,,,,,,,,,,,,,,,,,,,,,,
