game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result
163981,2025-05-18,2025-05-18 13:05:00,Texas Rangers,Houston Astros,,,,,,,,,,
163968,2025-05-18,2025-05-18 13:35:00,Philadelphia Phillies,Pittsburgh Pirates,1.95,1.87,8.0,1.91,1.91,,,,,
163974,2025-05-18,2025-05-18 13:35:00,Baltimore Orioles,Washington Nationals,1.59,2.50,9.5,1.91,1.91,,,,,
163975,2025-05-18,2025-05-18 13:35:00,Boston Red Sox,Atlanta Braves,2.10,1.77,9.0,1.91,1.91,,,,,
163969,2025-05-18,2025-05-18 13:37:00,Toronto Blue Jays,Detroit Tigers,1.83,2.00,8.5,1.80,2.00,,,,,
163970,2025-05-18,2025-05-18 13:40:00,Miami Marlins,Tampa Bay Rays,2.30,1.67,8.5,1.91,1.91,,,,,
163976,2025-05-18,2025-05-18 13:40:00,Cincinnati Reds,Cleveland Guardians,1.80,2.05,9.0,1.91,1.91,,,,,
163971,2025-05-18,2025-05-18 14:10:00,Milwaukee Brewers,Minnesota Twins,1.62,2.40,8.0,2.00,1.80,,,,,
163977,2025-05-18,2025-05-18 14:10:00,Kansas City Royals,St.Louis Cardinals,1.87,1.95,8.5,2.00,1.80,,,,,
163972,2025-05-18,2025-05-18 14:20:00,Chicago Cubs,Chicago White Sox,1.33,3.50,9.0,1.91,1.91,,,,,
163982,2025-05-18,2025-05-18 16:05:00,San Francisco Giants,Athletics,1.69,2.25,8.5,1.91,1.91,,,,,
163973,2025-05-18,2025-05-18 16:10:00,Arizona Diamondbacks,Colorado Rockies,1.29,3.80,9.0,1.91,1.91,,,,,
163978,2025-05-18,2025-05-18 16:10:00,Los Angeles Dodgers,Los Angeles Angels,1.41,3.05,9.0,1.91,1.91,,,,,
163980,2025-05-18,2025-05-18 16:10:00,San Diego Padres,Seattle Mariners,1.71,2.20,7.5,2.00,1.80,,,,,
163979,2025-05-18,2025-05-18 19:10:00,New York Yankees,New York Mets,1.59,2.50,8.5,1.80,2.00,,,,,
