game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9,odds_api_id
187578,2026-09-25,2026-09-25 13:05:00,Boston Red Sox,Chicago Cubs,2.06,1.86,6.5,1.97,1.9,4,3,Finished,Boston Red Sox,Over,0,1,0,2,1,0,0,0,2,0,0,0,1,0,0,0,,0,187578
187548,2026-09-25,2026-09-25 16:05:00,New York Yankees,Baltimore Orioles,1.71,2.14,6.5,1.82,1.97,2,10,Finished,Baltimore Orioles,Over,0,0,0,0,0,2,1,5,0,0,0,1,0,1,0,1,1.0,0,187548
187550,2026-09-25,2026-09-25 18:05:00,Boston Red Sox,Chicago Cubs,1.92,1.88,6.5,1.93,1.85,2,0,Finished,Boston Red Sox,Under,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,187550
187545,2026-09-25,2026-09-25 18:40:00,Detroit Tigers,Pittsburgh Pirates,1.96,1.96,8.0,2.02,1.87,8,7,Finished,Detroit Tigers,Over,0,0,2,2,4,0,0,0,0,0,1,0,1,0,0,5,,0,187545
187546,2026-09-25,2026-09-25 18:40:00,Philadelphia Phillies,Tampa Bay Rays,1.61,2.51,6.5,1.87,2.02,0,2,Finished,Tampa Bay Rays,Under,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,187546
187547,2026-09-25,2026-09-25 18:45:00,Washington Nationals,New York Mets,2.11,1.73,8.0,1.88,1.88,7,6,Finished,Washington Nationals,Over,2,1,0,0,4,2,0,0,0,2,0,0,1,0,0,1,,0,187547
187569,2026-09-25,2026-09-25 19:05:00,New York Yankees,Baltimore Orioles,1.67,2.21,6.5,1.81,1.98,6,3,Finished,New York Yankees,Over,0,0,0,0,0,0,0,0,1,0,3,0,2,1,0,0,,2,187569
187549,2026-09-25,2026-09-25 19:07:00,Toronto Blue Jays,Cincinnati Reds,1.73,2.11,7.5,1.85,1.93,6,5,Finished,Toronto Blue Jays,Over,2,0,0,1,0,4,0,0,0,0,0,0,4,0,0,0,,0,187549
187551,2026-09-25,2026-09-25 19:10:00,Miami Marlins,Atlanta Braves,2.01,1.8,8.0,1.86,1.9,3,0,Finished,Miami Marlins,Under,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,,0,187551
187552,2026-09-25,2026-09-25 19:40:00,Chicago White Sox,Colorado Rockies,1.47,2.95,8.0,1.96,1.93,6,1,Finished,Chicago White Sox,Under,2,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,,0,187552
187553,2026-09-25,2026-09-25 19:40:00,Kansas City Royals,Cleveland Guardians,2.19,1.78,7.0,1.84,2.06,9,12,Finished,Cleveland Guardians,Over,1,2,2,1,0,0,2,1,0,3,0,0,0,0,2,0,2.0,5,187553
187554,2026-09-25,2026-09-25 19:40:00,Milwaukee Brewers,St. Louis Cardinals,1.57,2.61,8.0,1.99,1.9,8,4,Finished,Milwaukee Brewers,Over,1,0,0,0,0,0,1,1,2,0,0,0,0,3,4,0,,0,187554
187555,2026-09-25,2026-09-25 20:10:00,Minnesota Twins,Texas Rangers,2.12,1.83,7.0,1.93,1.95,10,2,Finished,Minnesota Twins,Over,0,2,6,0,0,0,2,0,0,0,2,0,0,0,0,0,,0,187555
187556,2026-09-25,2026-09-25 21:40:00,Athletics,Houston Astros,,,,,,6,5,Finished,Athletics,Push,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,3,,0,187556
187557,2026-09-25,2026-09-25 21:40:00,San Diego Padres,Arizona Diamondbacks,1.83,2.12,7.5,1.93,1.96,4,11,Finished,Arizona Diamondbacks,Over,0,3,2,1,0,2,0,1,0,0,0,3,1,1,1,0,0.0,0,187557
187558,2026-09-25,2026-09-25 22:10:00,Seattle Mariners,Los Angeles Angels,,,,,,5,7,Finished,Los Angeles Angels,Push,0,1,0,0,0,0,0,1,0,0,0,3,0,1,2,0,3.0,1,187558
187559,2026-09-25,2026-09-25 22:15:00,San Francisco Giants,Los Angeles Dodgers,3.78,1.32,7.5,1.88,2.0,0,2,Finished,Los Angeles Dodgers,Under,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,187559
