game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
164396,2025-06-19,2025-06-19 12:40:00,Cincinnati Reds,Minnesota Twins,1.91,1.91,9.0,1.80,2.00,,,,,,,,,,,,,,,,,,,,,,,
164399,2025-06-19,2025-06-19 13:05:00,New York Yankees,Los Angeles Angels,1.36,3.10,8.5,1.73,2.10,,,,,,,,,,,,,,,,,,,,,,,
164403,2025-06-19,2025-06-19 13:05:00,Washington Nationals,Colorado Rockies,1.62,2.30,9.0,1.80,2.00,,,,,,,,,,,,,,,,,,,,,,,
164397,2025-06-19,2025-06-19 13:10:00,Detroit Tigers,Pittsburgh Pirates,1.29,3.60,7.0,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,
164404,2025-06-19,2025-06-19 14:10:00,Chicago White Sox,St. Louis Cardinals,2.20,1.67,8.0,1.80,2.00,,,,,,,,,,,,,,,,,,,,,,,
164393,2025-06-19,2025-06-19 14:20:00,Chicago Cubs,Milwaukee Brewers,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,
164402,2025-06-19,2025-06-19 14:35:00,Texas Rangers,Kansas City Royals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164394,2025-06-19,2025-06-19 15:07:00,Toronto Blue Jays,Arizona Diamondbacks,1.73,2.10,8.5,1.80,2.00,,,,,,,,,,,,,,,,,,,,,,,
164405,2025-06-19,2025-06-19 16:05:00,San Francisco Giants,Cleveland Guardians,1.57,2.38,7.0,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,
164387,2025-06-19,2025-06-19 16:40:00,Chicago White Sox,St. Louis Cardinals,2.38,1.57,8.0,1.73,2.10,,,,,,,,,,,,,,,,,,,,,,,
164385,2025-06-19,2025-06-19 17:40:00,Detroit Tigers,Pittsburgh Pirates,1.30,3.50,7.0,2.00,1.80,,,,,,,,,,,,,,,,,,,,,,,
164406,2025-06-19,2025-06-19 18:40:00,Miami Marlins,Philadelphia Phillies,2.50,1.53,7.5,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,
164395,2025-06-19,2025-06-19 19:15:00,Atlanta Braves,New York Mets,1.73,2.10,8.0,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,
164401,2025-06-19,2025-06-19 19:35:00,Tampa Bay Rays,Baltimore Orioles,1.67,2.20,8.5,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,
164400,2025-06-19,2025-06-19 22:05:00,Athletics,Houston Astros,2.10,1.73,10.5,2.00,1.80,,,,,,,,,,,,,,,,,,,,,,,
164398,2025-06-19,2025-06-19 22:10:00,Los Angeles Dodgers,San Diego Padres,1.40,2.90,9.0,2.00,1.80,,,,,,,,,,,,,,,,,,,,,,,
