game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9,odds_api_id
187560,2026-09-26,2026-09-26 13:10:00,Detroit Tigers,Pittsburgh Pirates,1.83,1.98,8.5,1.94,1.84,,,,,,,,,,,,,,,,,,,,,,,,187560
187561,2026-09-26,2026-09-26 15:07:00,Toronto Blue Jays,Cincinnati Reds,1.63,2.43,8.0,1.96,1.91,,,,,,,,,,,,,,,,,,,,,,,,187561
187562,2026-09-26,2026-09-26 16:05:00,San Francisco Giants,Los Angeles Dodgers,3.79,1.3,7.5,1.98,1.88,,,,,,,,,,,,,,,,,,,,,,,,187562
187563,2026-09-26,2026-09-26 16:05:00,Washington Nationals,New York Mets,2.16,1.78,8.5,1.97,1.9,,,,,,,,,,,,,,,,,,,,,,,,187563
187564,2026-09-26,2026-09-26 16:10:00,Miami Marlins,Atlanta Braves,2.05,1.77,8.5,1.84,1.94,,,,,,,,,,,,,,,,,,,,,,,,187564
187565,2026-09-26,2026-09-26 16:10:00,Minnesota Twins,Texas Rangers,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,187565
187566,2026-09-26,2026-09-26 19:10:00,Milwaukee Brewers,St. Louis Cardinals,1.56,2.61,7.5,1.88,1.99,,,,,,,,,,,,,,,,,,,,,,,,187566
187567,2026-09-26,2026-09-26 19:10:00,Chicago White Sox,Colorado Rockies,1.45,2.95,8.0,1.86,2.01,,,,,,,,,,,,,,,,,,,,,,,,187567
187568,2026-09-26,2026-09-26 19:10:00,Kansas City Royals,Cleveland Guardians,2.15,1.79,8.5,1.99,1.88,,,,,,,,,,,,,,,,,,,,,,,,187568
187570,2026-09-26,2026-09-26 19:15:00,Philadelphia Phillies,Tampa Bay Rays,1.9,1.9,7.0,1.88,1.88,,,,,,,,,,,,,,,,,,,,,,,,187570
187571,2026-09-26,2026-09-26 19:15:00,Boston Red Sox,Chicago Cubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187571
187572,2026-09-26,2026-09-26 20:40:00,San Diego Padres,Arizona Diamondbacks,1.91,2.01,7.5,1.9,1.95,,,,,,,,,,,,,,,,,,,,,,,,187572
187573,2026-09-26,2026-09-26 21:40:00,Athletics,Houston Astros,2.71,1.53,9.5,2.04,1.85,,,,,,,,,,,,,,,,,,,,,,,,187573
187574,2026-09-26,2026-09-26 21:40:00,Seattle Mariners,Los Angeles Angels,1.92,2.01,6.5,1.89,2.0,,,,,,,,,,,,,,,,,,,,,,,,187574
