game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
172717,2025-09-09,2025-09-09 18:35:00,Baltimore Orioles,Pittsburgh Pirates,1.62,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,
172718,2025-09-09,2025-09-09 18:40:00,Cleveland Guardians,Kansas City Royals,1.73,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,
172719,2025-09-09,2025-09-09 18:40:00,Miami Marlins,Washington Nationals,1.73,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,
172720,2025-09-09,2025-09-09 18:45:00,Philadelphia Phillies,New York Mets,1.80,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,
172721,2025-09-09,2025-09-09 19:05:00,New York Yankees,Detroit Tigers,1.62,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,
172722,2025-09-09,2025-09-09 19:07:00,Toronto Blue Jays,Houston Astros,1.62,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,
172723,2025-09-09,2025-09-09 19:15:00,Atlanta Braves,Chicago Cubs,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,
172724,2025-09-09,2025-09-09 19:40:00,Chicago White Sox,Tampa Bay Rays,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172950,2025-09-09,2025-09-09 20:05:00,Texas Rangers,Milwaukee Brewers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172951,2025-09-09,2025-09-09 21:38:00,Los Angeles Angels,Minnesota Twins,2.00,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,
172952,2025-09-09,2025-09-09 21:40:00,San Diego Padres,Cincinnati Reds,1.53,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,
172953,2025-09-09,2025-09-09 21:40:00,Seattle Mariners,St. Louis Cardinals,1.44,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,
172954,2025-09-09,2025-09-09 21:45:00,San Francisco Giants,Arizona Diamondbacks,1.67,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,
172955,2025-09-09,2025-09-09 22:05:00,Athletics,Boston Red Sox,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,
172956,2025-09-09,2025-09-09 22:10:00,Los Angeles Dodgers,Colorado Rockies,1.30,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,
