game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
165412,2025-09-06,2025-09-06 13:05:00,New York Yankees,Toronto Blue Jays,1.67,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,
165404,2025-09-06,2025-09-06 14:20:00,Chicago Cubs,Washington Nationals,1.36,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,
165416,2025-09-06,2025-09-06 16:10:00,Miami Marlins,Philadelphia Phillies,2.30,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,
165410,2025-09-06,2025-09-06 18:10:00,Detroit Tigers,Chicago White Sox,1.30,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,
165408,2025-09-06,2025-09-06 18:40:00,Cincinnati Reds,New York Mets,2.10,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,
165413,2025-09-06,2025-09-06 18:40:00,Pittsburgh Pirates,Milwaukee Brewers,2.20,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,
165407,2025-09-06,2025-09-06 19:05:00,Baltimore Orioles,Los Angeles Dodgers,2.20,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,
165414,2025-09-06,2025-09-06 19:05:00,Tampa Bay Rays,Cleveland Guardians,1.67,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,
165406,2025-09-06,2025-09-06 19:15:00,Atlanta Braves,Seattle Mariners,1.73,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,
165411,2025-09-06,2025-09-06 19:15:00,Kansas City Royals,Minnesota Twins,2.00,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,
165415,2025-09-06,2025-09-06 19:15:00,Texas Rangers,Houston Astros,1.80,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,
165417,2025-09-06,2025-09-06 19:15:00,St. Louis Cardinals,San Francisco Giants,2.10,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,
165405,2025-09-06,2025-09-06 20:10:00,Arizona Diamondbacks,Boston Red Sox,2.00,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,
165409,2025-09-06,2025-09-06 20:10:00,Colorado Rockies,San Diego Padres,2.50,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,
165418,2025-09-06,2025-09-06 21:38:00,Los Angeles Angels,Athletics,1.67,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,
