game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
179529,2026-07-21,2026-07-21 18:40:00,Philadelphia Phillies,Los Angeles Dodgers,1.76,2.19,8.5,1.88,2.0,,,,,,,,,,,,,,,,,,,,,,,
179535,2026-07-21,2026-07-21 18:40:00,Cleveland Guardians,Minnesota Twins,1.67,2.21,8.0,1.81,1.95,,,,,,,,,,,,,,,,,,,,,,,
179530,2026-07-21,2026-07-21 19:05:00,New York Yankees,Pittsburgh Pirates,1.69,2.30,9.0,1.89,1.98,,,,,,,,,,,,,,,,,,,,,,,
179526,2026-07-21,2026-07-21 19:07:00,Toronto Blue Jays,Tampa Bay Rays,2.01,1.90,7.5,1.93,1.93,,,,,,,,,,,,,,,,,,,,,,,
179537,2026-07-21,2026-07-21 19:10:00,Boston Red Sox,Baltimore Orioles,1.75,2.08,8.5,1.94,1.84,,,,,,,,,,,,,,,,,,,,,,,
179538,2026-07-21,2026-07-21 19:15:00,Atlanta Braves,San Diego Padres,1.74,2.23,9.0,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,
179531,2026-07-21,2026-07-21 19:40:00,Milwaukee Brewers,New York Mets,1.72,2.26,9.0,2.01,1.86,,,,,,,,,,,,,,,,,,,,,,,
179533,2026-07-21,2026-07-21 19:40:00,Kansas City Royals,San Francisco Giants,1.98,1.93,9.5,1.93,1.93,,,,,,,,,,,,,,,,,,,,,,,
179527,2026-07-21,2026-07-21 20:05:00,Texas Rangers,Chicago White Sox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179536,2026-07-21,2026-07-21 20:05:00,Chicago Cubs,Detroit Tigers,1.86,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,
179532,2026-07-21,2026-07-21 20:10:00,Houston Astros,Miami Marlins,1.81,2.11,9.0,2.03,1.85,,,,,,,,,,,,,,,,,,,,,,,
179534,2026-07-21,2026-07-21 20:40:00,Colorado Rockies,Washington Nationals,1.93,1.98,13.0,1.96,1.91,,,,,,,,,,,,,,,,,,,,,,,
179525,2026-07-21,2026-07-21 21:38:00,Los Angeles Angels,St. Louis Cardinals,2.02,1.89,9.0,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,
179528,2026-07-21,2026-07-21 21:40:00,Seattle Mariners,Cincinnati Reds,1.89,2.02,7.5,1.94,1.93,,,,,,,,,,,,,,,,,,,,,,,
179539,2026-07-21,2026-07-21 21:40:00,Arizona Diamondbacks,Athletics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
