game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result
163938,2025-05-16,2025-05-16 14:20:00,Chicago Cubs,Chicago White Sox,1.43,2.95,11.0,1.80,2.00,,,,,
163942,2025-05-16,2025-05-16 18:40:00,Cincinnati Reds,Cleveland Guardians,2.05,1.80,9.0,1.91,1.91,,,,,
163947,2025-05-16,2025-05-16 18:45:00,Philadelphia Phillies,Pittsburgh Pirates,1.45,2.90,8.5,1.91,1.91,,,,,
163940,2025-05-16,2025-05-16 19:05:00,Baltimore Orioles,Washington Nationals,1.91,1.91,9.0,1.91,1.91,,,,,
163948,2025-05-16,2025-05-16 19:05:00,New York Yankees,New York Mets,1.71,2.20,8.5,1.80,2.00,,,,,
163949,2025-05-16,2025-05-16 19:07:00,Toronto Blue Jays,Detroit Tigers,2.10,1.77,8.5,1.91,1.91,,,,,
163941,2025-05-16,2025-05-16 19:10:00,Boston Red Sox,Atlanta Braves,1.80,2.05,8.0,1.91,1.91,,,,,
163950,2025-05-16,2025-05-16 19:10:00,Miami Marlins,Tampa Bay Rays,,,,,,,,,,
163943,2025-05-16,2025-05-16 19:40:00,Kansas City Royals,St.Louis Cardinals,1.62,2.40,8.0,1.80,2.00,,,,,
163946,2025-05-16,2025-05-16 20:05:00,Texas Rangers,Houston Astros,1.56,2.60,8.0,1.91,1.91,,,,,
163951,2025-05-16,2025-05-16 20:10:00,Milwaukee Brewers,Minnesota Twins,1.95,1.87,8.0,2.00,1.80,,,,,
163939,2025-05-16,2025-05-16 21:40:00,Arizona Diamondbacks,Colorado Rockies,1.25,4.20,9.5,1.91,1.91,,,,,
163945,2025-05-16,2025-05-16 21:40:00,San Diego Padres,Seattle Mariners,1.67,2.30,8.5,1.80,2.00,,,,,
163944,2025-05-16,2025-05-16 22:10:00,Los Angeles Dodgers,Los Angeles Angels,1.33,3.50,9.0,1.80,2.00,,,,,
163952,2025-05-16,2025-05-16 22:15:00,San Francisco Giants,Athletics,1.57,2.55,7.0,1.91,1.91,,,,,
