game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result
163906,2025-05-13,2025-05-13 18:10:00,Cleveland Guardians,Milwaukee Brewers,1.80,2.05,9.0,1.91,1.91,,,,,
163904,2025-05-13,2025-05-13 18:35:00,Baltimore Orioles,Minnesota Twins,1.74,2.15,9.0,1.91,1.91,,,,,
163905,2025-05-13,2025-05-13 18:40:00,Cincinnati Reds,Chicago White Sox,1.53,2.70,9.0,1.80,2.00,,,,,
163907,2025-05-13,2025-05-13 18:40:00,Detroit Tigers,Boston Red Sox,1.95,1.87,8.5,2.00,1.80,,,,,
163914,2025-05-13,2025-05-13 18:45:00,Philadelphia Phillies,St.Louis Cardinals,1.67,2.30,7.5,1.91,1.91,,,,,
163915,2025-05-13,2025-05-13 19:07:00,Toronto Blue Jays,Tampa Bay Rays,1.80,2.05,8.0,1.91,1.91,,,,,
163910,2025-05-13,2025-05-13 19:10:00,New York Mets,Pittsburgh Pirates,1.40,3.10,7.5,1.91,1.91,,,,,
163903,2025-05-13,2025-05-13 19:15:00,Atlanta Braves,Washington Nationals,1.42,3.00,8.5,2.00,1.80,,,,,
163916,2025-05-13,2025-05-13 19:40:00,Chicago Cubs,Miami Marlins,1.40,3.10,8.5,1.91,1.91,,,,,
163913,2025-05-13,2025-05-13 20:05:00,Texas Rangers,Colorado Rockies,1.43,2.95,8.5,1.91,1.91,,,,,
163908,2025-05-13,2025-05-13 20:10:00,Houston Astros,Kansas City Royals,1.71,2.20,7.5,1.91,1.91,,,,,
163911,2025-05-13,2025-05-13 21:40:00,San Diego Padres,Los Angeles Angels,1.50,2.75,7.5,1.91,1.91,,,,,
163912,2025-05-13,2025-05-13 21:40:00,Seattle Mariners,New York Yankees,2.20,1.71,7.0,1.80,2.00,,,,,
163917,2025-05-13,2025-05-13 21:45:00,San Francisco Giants,Arizona Diamondbacks,1.95,1.87,7.5,1.91,1.91,,,,,
163909,2025-05-13,2025-05-13 22:10:00,Los Angeles Dodgers,Athletics,1.50,2.75,,,,,,,,
