game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
178942,2026-06-04,2026-06-04 13:05:00,Philadelphia Phillies,San Diego Padres,1.53,2.68,8.0,1.95,1.92,,,,,,,,,,,,,,,,,,,,,,,
178943,2026-06-04,2026-06-04 13:35:00,New York Yankees,Cleveland Guardians,1.61,2.48,8.5,1.99,1.88,,,,,,,,,,,,,,,,,,,,,,,
178947,2026-06-04,2026-06-04 13:35:00,Boston Red Sox,Baltimore Orioles,1.87,2.04,10.5,2.0,1.87,,,,,,,,,,,,,,,,,,,,,,,
178941,2026-06-04,2026-06-04 14:10:00,Milwaukee Brewers,San Francisco Giants,1.57,2.57,9.0,1.87,2.01,,,,,,,,,,,,,,,,,,,,,,,
178948,2026-06-04,2026-06-04 19:15:00,Atlanta Braves,Toronto Blue Jays,1.49,2.62,7.5,1.92,1.86,,,,,,,,,,,,,,,,,,,,,,,
178944,2026-06-04,2026-06-04 19:40:00,Minnesota Twins,Kansas City Royals,2.00,1.91,9.0,1.9,1.97,,,,,,,,,,,,,,,,,,,,,,,
178946,2026-06-04,2026-06-04 20:05:00,Chicago Cubs,Athletics,1.75,2.08,10.5,1.91,1.87,,,,,,,,,,,,,,,,,,,,,,,
178945,2026-06-04,2026-06-04 20:10:00,Houston Astros,Pittsburgh Pirates,1.93,1.97,8.5,1.94,1.93,,,,,,,,,,,,,,,,,,,,,,,
178949,2026-06-04,2026-06-04 21:40:00,Arizona Diamondbacks,Los Angeles Dodgers,2.28,1.70,9.5,1.99,1.88,,,,,,,,,,,,,,,,,,,,,,,
