game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result
164177,2025-06-03,2025-06-03 18:40:00,Pittsburgh Pirates,Houston Astros,1.69,2.25,7.5,1.91,1.91,,,,,
164187,2025-06-03,2025-06-03 18:40:00,Miami Marlins,Colorado Rockies,1.57,2.55,8.5,2.00,1.80,,,,,
164178,2025-06-03,2025-06-03 18:45:00,Washington Nationals,Chicago Cubs,2.40,1.62,9.0,1.80,2.00,,,,,
164188,2025-06-03,2025-06-03 19:05:00,New York Yankees,Cleveland Guardians,1.53,2.70,8.0,1.91,1.91,,,,,
164189,2025-06-03,2025-06-03 19:07:00,Toronto Blue Jays,Philadelphia Phillies,2.25,1.69,8.5,1.80,2.00,,,,,
164181,2025-06-03,2025-06-03 19:10:00,Cincinnati Reds,Milwaukee Brewers,1.87,1.95,8.0,1.91,1.91,,,,,
164185,2025-06-03,2025-06-03 19:10:00,Boston Red Sox,Los Angeles Angels,1.71,2.20,9.5,2.00,1.80,,,,,
164186,2025-06-03,2025-06-03 19:15:00,Atlanta Braves,Arizona Diamondbacks,1.69,2.25,8.5,1.80,2.00,,,,,
164179,2025-06-03,2025-06-03 19:35:00,Tampa Bay Rays,Texas Rangers,1.71,2.20,8.0,1.91,1.91,,,,,
164184,2025-06-03,2025-06-03 19:40:00,Chicago White Sox,Detroit Tigers,,,,,,,,,,
164190,2025-06-03,2025-06-03 19:45:00,St. Louis Cardinals,Kansas City Royals,1.71,2.20,8.5,1.80,2.00,,,,,
164180,2025-06-03,2025-06-03 21:40:00,Seattle Mariners,Baltimore Orioles,1.62,2.40,7.5,1.80,2.00,,,,,
164191,2025-06-03,2025-06-03 21:45:00,San Francisco Giants,San Diego Padres,,,,,,,,,,
164182,2025-06-03,2025-06-03 22:05:00,Athletics,Minnesota Twins,,,,,,,,,,
164183,2025-06-03,2025-06-03 22:10:00,Los Angeles Dodgers,New York Mets,1.71,2.20,9.0,1.80,2.00,,,,,
