game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result
164017,2025-05-21,2025-05-21 12:35:00,Pittsburgh Pirates,Cincinnati Reds,2.05,1.80,8.0,1.91,1.91,,,,,
164010,2025-05-21,2025-05-21 13:10:00,Miami Marlins,Chicago Cubs,2.10,1.77,9.0,2.00,1.80,,,,,
164011,2025-05-21,2025-05-21 13:10:00,Milwaukee Brewers,Baltimore Orioles,1.80,2.05,8.5,1.91,1.91,,,,,
164016,2025-05-21,2025-05-21 13:10:00,Tampa Bay Rays,Houston Astros,2.15,1.74,8.5,1.80,2.00,,,,,
164013,2025-05-21,2025-05-21 13:15:00,St.Louis Cardinals,Detroit Tigers,,,,,,,,,,
164020,2025-05-21,2025-05-21 14:10:00,Chicago White Sox,Seattle Mariners,2.30,1.67,8.0,1.80,2.00,,,,,
164012,2025-05-21,2025-05-21 15:10:00,Minnesota Twins,Cleveland Guardians,1.69,2.25,7.5,2.00,1.80,,,,,
164014,2025-05-21,2025-05-21 15:45:00,San Francisco Giants,Kansas City Royals,,,,,,,,,,
164015,2025-05-21,2025-05-21 18:45:00,Washington Nationals,Atlanta Braves,2.40,1.62,8.5,1.91,1.91,,,,,
164021,2025-05-21,2025-05-21 18:45:00,Boston Red Sox,New York Mets,1.67,2.30,8.0,1.91,1.91,,,,,
164023,2025-05-21,2025-05-21 19:05:00,New York Yankees,Texas Rangers,1.83,2.00,8.0,2.00,1.80,,,,,
164024,2025-05-21,2025-05-21 19:07:00,Toronto Blue Jays,San Diego Padres,,,,,,,,,,
164022,2025-05-21,2025-05-21 20:40:00,Colorado Rockies,Philadelphia Phillies,3.00,1.42,11.5,1.91,1.91,,,,,
164018,2025-05-21,2025-05-21 22:05:00,Athletics,Los Angeles Angels,1.62,2.40,10.5,1.80,2.00,,,,,
164019,2025-05-21,2025-05-21 22:10:00,Los Angeles Dodgers,Arizona Diamondbacks,1.74,2.15,9.0,1.91,1.91,,,,,
