game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
172706,2025-09-08,2025-09-08 18:40:00,Cleveland Guardians,Kansas City Royals,1.8,2.0,,,,10,2,Finished,Cleveland Guardians,Under,1,0,0,0,1,0,6,0,1,0,0,0,1,0,0,0,,2
172707,2025-09-08,2025-09-08 18:40:00,Miami Marlins,Washington Nationals,1.73,2.1,,,,7,15,Finished,Washington Nationals,Under,0,0,1,1,0,0,0,1,1,6,0,3,0,2,4,0,1.0,2
172708,2025-09-08,2025-09-08 18:45:00,Philadelphia Phillies,New York Mets,2.0,1.8,,,,1,0,Finished,Philadelphia Phillies,Under,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
172709,2025-09-08,2025-09-08 19:15:00,Atlanta Braves,Chicago Cubs,2.1,1.73,,,,4,1,Finished,Atlanta Braves,Under,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0
172710,2025-09-08,2025-09-08 20:05:00,Texas Rangers,Milwaukee Brewers,2.0,1.8,,,,5,0,Finished,Texas Rangers,Under,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,,0
172711,2025-09-08,2025-09-08 21:38:00,Los Angeles Angels,Minnesota Twins,1.8,2.0,,,,3,12,Finished,Minnesota Twins,Under,0,0,3,2,0,1,0,0,0,2,0,2,0,0,0,2,0.0,3
172712,2025-09-08,2025-09-08 21:40:00,San Diego Padres,Cincinnati Reds,1.67,2.2,,,,4,3,Finished,San Diego Padres,Under,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0.0,0
172713,2025-09-08,2025-09-08 21:40:00,Seattle Mariners,St. Louis Cardinals,1.44,2.75,,,,4,2,Finished,Seattle Mariners,Under,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,,0
172714,2025-09-08,2025-09-08 21:45:00,San Francisco Giants,Arizona Diamondbacks,1.53,2.5,,,,11,5,Finished,San Francisco Giants,Under,0,0,2,3,2,1,0,0,0,0,5,0,1,0,1,1,,0
172715,2025-09-08,2025-09-08 22:05:00,Athletics,Boston Red Sox,2.5,1.53,,,,0,7,Finished,Boston Red Sox,Under,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0.0,0
172716,2025-09-08,2025-09-08 22:10:00,Los Angeles Dodgers,Colorado Rockies,,,,,,3,1,Finished,Los Angeles Dodgers,Under,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,,0
